Timestamp,Ax,Ay,Az,Gx,Gy,Gz
14:49:16.687437,0.22,1.56,1.56,-68.75,18.08,-7.13
14:49:16.790430,0.40,1.60,1.60,-101.37,-14.85,71.98
14:49:16.898629,0.41,1.85,1.85,-171.80,-70.67,87.77
14:49:17.003068,0.27,1.74,1.74,-103.20,-150.95,200.37
14:49:17.105557,0.79,1.42,1.42,-86.52,282.71,193.11
14:49:17.207401,0.59,1.24,1.24,64.54,196.65,48.41
14:49:17.315052,0.55,1.29,1.29,135.15,-60.12,-227.16
14:49:17.416991,0.59,1.26,1.26,80.70,109.91,-405.40
14:49:17.522939,0.27,1.39,1.39,148.29,-24.27,-405.82
14:49:17.621743,0.27,1.35,1.35,61.98,6.71,118.14
14:49:17.733113,-0.12,1.97,1.97,-234.82,-421.25,654.82
14:49:17.831340,0.74,1.86,1.86,-29.66,7.93,284.66
14:49:17.933177,1.03,1.79,1.79,15.06,8.20,12.47
14:49:18.040546,0.78,1.61,1.61,57.32,11.59,-83.38
14:49:18.146489,0.54,1.55,1.55,-13.60,55.76,-122.74
14:49:18.252683,0.33,1.61,1.61,-57.20,117.04,-142.38
14:49:18.354471,-0.07,1.52,1.52,-120.82,35.24,18.63
14:49:18.461830,0.05,2.07,2.07,-197.96,-99.02,204.76
14:49:18.563478,0.64,1.64,1.64,-137.47,-151.34,301.31
14:49:18.666040,0.80,1.19,1.19,33.02,381.34,243.51
14:49:18.768351,0.59,1.16,1.16,86.83,34.51,-20.88
14:49:18.875455,0.61,1.09,1.09,154.15,47.74,-246.89
14:49:18.977923,0.47,1.27,1.27,213.72,35.95,-458.78
14:49:19.083983,0.25,1.56,1.56,106.04,25.98,-344.57
14:49:19.185737,0.13,1.41,1.41,97.20,-25.00,4.02
14:49:19.294198,0.88,0.94,0.94,-597.71,-999.02,612.50
14:49:19.395499,0.66,1.48,1.48,154.63,-66.71,435.98
14:49:19.498258,1.04,1.66,1.66,31.65,42.84,105.67
14:49:19.604395,0.86,1.63,1.63,102.74,-12.99,-35.18
14:49:19.707187,0.55,1.62,1.62,26.83,-27.23,-155.24
14:49:19.813315,0.42,1.58,1.58,-58.38,84.45,-111.07
14:49:19.915935,0.30,1.63,1.63,-63.41,113.63,-68.69
14:49:20.017993,0.11,1.54,1.54,-132.16,67.29,23.66
14:49:20.124584,0.21,2.13,2.13,-130.40,-86.25,213.51
14:49:20.231111,0.28,1.72,1.72,-84.88,-220.73,226.37
14:49:20.332932,0.79,1.63,1.63,-64.60,268.87,177.84
14:49:20.435850,0.72,1.14,1.14,83.66,142.01,-9.63
14:49:20.542261,0.62,1.16,1.16,101.31,21.68,-273.02
14:49:20.645457,0.41,1.41,1.41,3.29,26.40,-463.78
14:49:20.747053,0.15,1.52,1.52,90.91,52.59,-354.12
14:49:20.853629,0.12,1.29,1.29,19.63,-21.95,-7.71
14:49:20.960277,-2.35,3.52,3.52,661.65,-322.29,-191.68
14:49:21.062309,0.53,2.24,2.24,-26.92,226.40,-63.32
14:49:21.164119,0.85,1.67,1.67,62.07,-198.02,86.55
14:49:21.270376,0.64,1.58,1.58,17.62,-31.52,-29.60
